X1,X2,Clase
5.1,1.4,Iris-setosa
4.9,1.4,Iris-setosa
4.7,1.3,Iris-setosa
4.6,1.5,Iris-setosa
5.0,1.4,Iris-setosa
5.4,1.7,Iris-setosa
4.6,1.4,Iris-setosa
5.0,1.5,Iris-setosa
4.4,1.4,Iris-setosa
4.9,1.5,Iris-setosa
5.1,1.6,Iris-setosa
5.3,1.5,Iris-setosa
5.1,1.4,Iris-setosa
4.8,1.6,Iris-setosa
5.0,1.6,Iris-setosa
4.9,1.4,Iris-setosa
5.1,1.5,Iris-setosa
4.5,1.4,Iris-setosa
4.8,1.5,Iris-setosa
5.4,1.5,Iris-setosa
7.0,4.7,Iris-versicolor
6.4,4.5,Iris-versicolor
6.9,4.9,Iris-versicolor
5.5,4.0,Iris-versicolor
6.5,4.6,Iris-versicolor
5.7,4.5,Iris-versicolor
6.3,4.7,Iris-versicolor
4.9,3.3,Iris-versicolor
6.6,4.6,Iris-versicolor
5.2,3.9,Iris-versicolor
5.9,4.2,Iris-versicolor
6.1,4.1,Iris-versicolor
6.3,4.4,Iris-versicolor
5.6,4.0,Iris-versicolor
6.0,4.5,Iris-versicolor
5.9,4.2,Iris-versicolor
6.4,4.5,Iris-versicolor
5.6,4.3,Iris-versicolor
6.5,4.1,Iris-versicolor
5.7,4.0,Iris-versicolor
6.3,6.0,Iris-virginica
5.8,5.1,Iris-virginica
7.1,5.9,Iris-virginica
6.3,5.6,Iris-virginica
6.5,5.8,Iris-virginica
7.6,6.6,Iris-virginica
4.9,4.5,Iris-virginica
7.3,6.3,Iris-virginica
6.7,5.8,Iris-virginica
7.2,6.1,Iris-virginica
6.5,5.9,Iris-virginica
6.4,5.6,Iris-virginica
6.8,5.7,Iris-virginica
6.9,6.1,Iris-virginica
6.7,5.9,Iris-virginica
7.0,6.4,Iris-virginica
6.4,5.5,Iris-virginica
6.6,6.0,Iris-virginica
7.2,6.3,Iris-virginica
5.2,1.5,Iris-setosa
4.8,1.3,Iris-setosa
5.1,1.6,Iris-setosa
5.3,1.5,Iris-setosa
5.0,1.4,Iris-setosa
5.2,1.5,Iris-setosa
4.9,1.4,Iris-setosa
5.4,1.7,Iris-setosa
4.8,1.4,Iris-setosa
5.0,1.5,Iris-setosa
6.1,4.7,Iris-versicolor
5.8,4.0,Iris-versicolor
6.2,4.8,Iris-versicolor
5.5,3.9,Iris-versicolor
6.3,4.6,Iris-versicolor
5.9,4.3,Iris-versicolor
6.0,4.5,Iris-versicolor
6.1,4.6,Iris-versicolor
5.7,4.1,Iris-versicolor
5.9,4.2,Iris-versicolor
6.8,6.1,Iris-virginica
6.5,5.7,Iris-virginica
6.9,6.3,Iris-virginica
6.7,6.0,Iris-virginica
6.4,5.8,Iris-virginica
6.8,6.1,Iris-virginica
6.6,5.9,Iris-virginica
