Altura,Masa,Genero
160,55,M
165,60,M
170,65,H
175,70,H
180,75,H
155,50,M
185,80,H
190,85,H
162,56,M
168,62,M
172,67,H
178,72,H
183,78,H
158,53,M
167,61,M
172,68,H
176,73,H
158,54,M
181,78,H
166,59,M
173,70,H
177,75,H
159,55,M
184,80,H
164,58,M
170,66,H
175,71,H
160,56,M
165,55,M
170,60,H
175,65,H
180,70,H
185,75,H
190,80,H
160,50,M
155,45,M
170,72,H
175,77,H
180,82,H
185,87,H
155,52,M
160,57,M
165,62,M
170,67,H
175,72,H
180,77,H
185,82,H
190,87,H
160,55,M
165,60,M
170,65,H
175,70,H
180,75,H
185,80,H
190,85,H
155,50,M
160,55,M
165,60,H
170,65,H
175,70,H
180,75,H
185,80,H
190,85,H
160,45,M
165,50,M
170,55,H
175,60,H
180,65,H
185,70,H
190,75,H
155,42,M
160,47,M
165,52,H
170,57,H
175,62,H
180,67,H
185,72,H
190,77,H
