X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
11,11,11,11,11,11,12,13,14,16,18,19,20,20,20,19,18,16,15,14,13,13,12,12
11,11,11,11,11,12,13,14,16,18,19,20,20,20,19,18,16,15,14,13,13,12,12,11
11,11,11,11,12,13,14,16,18,19,20,20,20,19,18,16,15,14,13,13,12,12,11,12
11,11,11,12,13,14,16,18,19,20,20,20,19,18,16,15,14,13,13,12,12,11,12,11
11,11,12,13,14,16,18,19,20,20,20,19,18,16,15,14,13,13,12,12,11,12,11,12
11,12,13,14,16,18,19,20,20,20,19,18,16,15,14,13,13,12,12,11,12,11,12,12
12,13,14,16,18,19,20,20,20,19,18,16,15,14,13,13,12,12,11,12,11,12,12,11
13,14,16,18,19,20,20,20,19,18,16,15,14,13,13,12,12,11,12,11,12,12,11,13
14,16,18,19,20,20,20,19,18,16,15,14,13,13,12,12,11,12,11,12,12,11,13,14
16,18,19,20,20,20,19,18,16,15,14,13,13,12,12,11,12,11,12,12,11,13,14,14
18,19,20,20,20,19,18,16,15,14,13,13,12,12,11,12,11,12,12,11,13,14,14,15
19,20,20,20,19,18,16,15,14,13,13,12,12,11,12,11,12,12,11,13,14,14,15,19
20,20,20,19,18,16,15,14,13,13,12,12,11,12,11,12,12,11,13,14,14,15,19,20
20,20,19,18,16,15,14,13,13,12,12,11,12,11,12,12,11,13,14,14,15,19,20,19
20,19,18,16,15,14,13,13,12,12,11,12,11,12,12,11,13,14,14,15,19,20,19,19
19,18,16,15,14,13,13,12,12,11,12,11,12,12,11,13,14,14,15,19,20,19,19,21
18,16,15,14,13,13,12,12,11,12,11,12,12,11,13,14,14,15,19,20,19,19,21,18
16,15,14,13,13,12,12,11,12,11,12,12,11,13,14,14,15,19,20,19,19,21,18,18
15,14,13,13,12,12,11,12,11,12,12,11,13,14,14,15,19,20,19,19,21,18,18,16
14,13,13,12,12,11,12,11,12,12,11,13,14,14,15,19,20,19,19,21,18,18,16,14
13,13,12,12,11,12,11,12,12,11,13,14,14,15,19,20,19,19,21,18,18,16,14,13
13,12,12,11,12,11,12,12,11,13,14,14,15,19,20,19,19,21,18,18,16,14,13,14
12,12,11,12,11,12,12,11,13,14,14,15,19,20,19,19,21,18,18,16,14,13,14,13
12,11,12,11,12,12,11,13,14,14,15,19,20,19,19,21,18,18,16,14,13,14,13,13
11,12,11,12,12,11,13,14,14,15,19,20,19,19,21,18,18,16,14,13,14,13,13,13
12,11,12,12,11,13,14,14,15,19,20,19,19,21,18,18,16,14,13,14,13,13,13,11
11,12,12,11,13,14,14,15,19,20,19,19,21,18,18,16,14,13,14,13,13,13,11,11
12,12,11,13,14,14,15,19,20,19,19,21,18,18,16,14,13,14,13,13,13,11,11,10
12,11,13,14,14,15,19,20,19,19,21,18,18,16,14,13,14,13,13,13,11,11,10,11
11,13,14,14,15,19,20,19,19,21,18,18,16,14,13,14,13,13,13,11,11,10,11,10
13,14,14,15,19,20,19,19,21,18,18,16,14,13,14,13,13,13,11,11,10,11,10,11
14,14,15,19,20,19,19,21,18,18,16,14,13,14,13,13,13,11,11,10,11,10,11,12
14,15,19,20,19,19,21,18,18,16,14,13,14,13,13,13,11,11,10,11,10,11,12,14
15,19,20,19,19,21,18,18,16,14,13,14,13,13,13,11,11,10,11,10,11,12,14,13
19,20,19,19,21,18,18,16,14,13,14,13,13,13,11,11,10,11,10,11,12,14,13,16
20,19,19,21,18,18,16,14,13,14,13,13,13,11,11,10,11,10,11,12,14,13,16,17
19,19,21,18,18,16,14,13,14,13,13,13,11,11,10,11,10,11,12,14,13,16,17,19
19,21,18,18,16,14,13,14,13,13,13,11,11,10,11,10,11,12,14,13,16,17,19,19
21,18,18,16,14,13,14,13,13,13,11,11,10,11,10,11,12,14,13,16,17,19,19,19
18,18,16,14,13,14,13,13,13,11,11,10,11,10,11,12,14,13,16,17,19,19,19,21
18,16,14,13,14,13,13,13,11,11,10,11,10,11,12,14,13,16,17,19,19,19,21,18
16,14,13,14,13,13,13,11,11,10,11,10,11,12,14,13,16,17,19,19,19,21,18,19
14,13,14,13,13,13,11,11,10,11,10,11,12,14,13,16,17,19,19,19,21,18,19,17
13,14,13,13,13,11,11,10,11,10,11,12,14,13,16,17,19,19,19,21,18,19,17,14
14,13,13,13,11,11,10,11,10,11,12,14,13,16,17,19,19,19,21,18,19,17,14,13
13,13,13,11,11,10,11,10,11,12,14,13,16,17,19,19,19,21,18,19,17,14,13,12
13,13,11,11,10,11,10,11,12,14,13,16,17,19,19,19,21,18,19,17,14,13,12,12
13,11,11,10,11,10,11,12,14,13,16,17,19,19,19,21,18,19,17,14,13,12,12,13
11,11,10,11,10,11,12,14,13,16,17,19,19,19,21,18,19,17,14,13,12,12,13,12
11,10,11,10,11,12,14,13,16,17,19,19,19,21,18,19,17,14,13,12,12,13,12,11
10,11,10,11,12,14,13,16,17,19,19,19,21,18,19,17,14,13,12,12,13,12,11,10
11,10,11,12,14,13,16,17,19,19,19,21,18,19,17,14,13,12,12,13,12,11,10,11
10,11,12,14,13,16,17,19,19,19,21,18,19,17,14,13,12,12,13,12,11,10,11,11
11,12,14,13,16,17,19,19,19,21,18,19,17,14,13,12,12,13,12,11,10,11,11,10
12,14,13,16,17,19,19,19,21,18,19,17,14,13,12,12,13,12,11,10,11,11,10,11
14,13,16,17,19,19,19,21,18,19,17,14,13,12,12,13,12,11,10,11,11,10,11,11
13,16,17,19,19,19,21,18,19,17,14,13,12,12,13,12,11,10,11,11,10,11,11,13
16,17,19,19,19,21,18,19,17,14,13,12,12,13,12,11,10,11,11,10,11,11,13,14
17,19,19,19,21,18,19,17,14,13,12,12,13,12,11,10,11,11,10,11,11,13,14,17
19,19,19,21,18,19,17,14,13,12,12,13,12,11,10,11,11,10,11,11,13,14,17,19
19,19,21,18,19,17,14,13,12,12,13,12,11,10,11,11,10,11,11,13,14,17,19,18
19,21,18,19,17,14,13,12,12,13,12,11,10,11,11,10,11,11,13,14,17,19,18,19
21,18,19,17,14,13,12,12,13,12,11,10,11,11,10,11,11,13,14,17,19,18,19,21
18,19,17,14,13,12,12,13,12,11,10,11,11,10,11,11,13,14,17,19,18,19,21,20
19,17,14,13,12,12,13,12,11,10,11,11,10,11,11,13,14,17,19,18,19,21,20,19
17,14,13,12,12,13,12,11,10,11,11,10,11,11,13,14,17,19,18,19,21,20,19,17
14,13,12,12,13,12,11,10,11,11,10,11,11,13,14,17,19,18,19,21,20,19,17,17
13,12,12,13,12,11,10,11,11,10,11,11,13,14,17,19,18,19,21,20,19,17,17,14
12,12,13,12,11,10,11,11,10,11,11,13,14,17,19,18,19,21,20,19,17,17,14,13
12,13,12,11,10,11,11,10,11,11,13,14,17,19,18,19,21,20,19,17,17,14,13,12
13,12,11,10,11,11,10,11,11,13,14,17,19,18,19,21,20,19,17,17,14,13,12,14
12,11,10,11,11,10,11,11,13,14,17,19,18,19,21,20,19,17,17,14,13,12,14,11
11,10,11,11,10,11,11,13,14,17,19,18,19,21,20,19,17,17,14,13,12,14,11,11
10,11,11,10,11,11,13,14,17,19,18,19,21,20,19,17,17,14,13,12,14,11,11,11
11,11,10,11,11,13,14,17,19,18,19,21,20,19,17,17,14,13,12,14,11,11,11,11
11,10,11,11,13,14,17,19,18,19,21,20,19,17,17,14,13,12,14,11,11,11,11,10
10,11,11,13,14,17,19,18,19,21,20,19,17,17,14,13,12,14,11,11,11,11,10,11
11,11,13,14,17,19,18,19,21,20,19,17,17,14,13,12,14,11,11,11,11,10,11,11
11,13,14,17,19,18,19,21,20,19,17,17,14,13,12,14,11,11,11,11,10,11,11,11
13,14,17,19,18,19,21,20,19,17,17,14,13,12,14,11,11,11,11,10,11,11,11,12
14,17,19,18,19,21,20,19,17,17,14,13,12,14,11,11,11,11,10,11,11,11,12,14
17,19,18,19,21,20,19,17,17,14,13,12,14,11,11,11,11,10,11,11,11,12,14,14
19,18,19,21,20,19,17,17,14,13,12,14,11,11,11,11,10,11,11,11,12,14,14,15
18,19,21,20,19,17,17,14,13,12,14,11,11,11,11,10,11,11,11,12,14,14,15,18
19,21,20,19,17,17,14,13,12,14,11,11,11,11,10,11,11,11,12,14,14,15,18,19
21,20,19,17,17,14,13,12,14,11,11,11,11,10,11,11,11,12,14,14,15,18,19,20
20,19,17,17,14,13,12,14,11,11,11,11,10,11,11,11,12,14,14,15,18,19,20,19
19,17,17,14,13,12,14,11,11,11,11,10,11,11,11,12,14,14,15,18,19,20,19,19
17,17,14,13,12,14,11,11,11,11,10,11,11,11,12,14,14,15,18,19,20,19,19,19
17,14,13,12,14,11,11,11,11,10,11,11,11,12,14,14,15,18,19,20,19,19,19,17
14,13,12,14,11,11,11,11,10,11,11,11,12,14,14,15,18,19,20,19,19,19,17,17
13,12,14,11,11,11,11,10,11,11,11,12,14,14,15,18,19,20,19,19,19,17,17,16
12,14,11,11,11,11,10,11,11,11,12,14,14,15,18,19,20,19,19,19,17,17,16,13
14,11,11,11,11,10,11,11,11,12,14,14,15,18,19,20,19,19,19,17,17,16,13,13
11,11,11,11,10,11,11,11,12,14,14,15,18,19,20,19,19,19,17,17,16,13,13,13
11,11,11,10,11,11,11,12,14,14,15,18,19,20,19,19,19,17,17,16,13,13,13,12
11,11,10,11,11,11,12,14,14,15,18,19,20,19,19,19,17,17,16,13,13,13,12,12
11,10,11,11,11,12,14,14,15,18,19,20,19,19,19,17,17,16,13,13,13,12,12,11
10,11,11,11,12,14,14,15,18,19,20,19,19,19,17,17,16,13,13,13,12,12,11,10
11,11,11,12,14,14,15,18,19,20,19,19,19,17,17,16,13,13,13,12,12,11,10,10
11,11,12,14,14,15,18,19,20,19,19,19,17,17,16,13,13,13,12,12,11,10,10,11
11,12,14,14,15,18,19,20,19,19,19,17,17,16,13,13,13,12,12,11,10,10,11,10
12,14,14,15,18,19,20,19,19,19,17,17,16,13,13,13,12,12,11,10,10,11,10,11
14,14,15,18,19,20,19,19,19,17,17,16,13,13,13,12,12,11,10,10,11,10,11,12
14,15,18,19,20,19,19,19,17,17,16,13,13,13,12,12,11,10,10,11,10,11,12,14
15,18,19,20,19,19,19,17,17,16,13,13,13,12,12,11,10,10,11,10,11,12,14,14
